id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
215 406.79393 136.6916 0.54852154 0.02162116 0.23407013 121 0 5456.4925 4.7592501 -1.6938463
216 1106.8037 136.05894 0.6909745 -0.21039231 0.21354313 121 0 4647.9997 2.3085667 -0.90835608
217 1415.2324 136.1748 0.62818862 -0.33937213 0.11322181 121 0 4801.0899 3.2735247 -1.287539
218 2079.9536 136.42224 0.98896127 -0.059082567 0.011660677 121 0 5448.0008 4.3628768 -1.5994324
219 2103.0515 136.47364 0.79451699 -0.13511374 0.15989713 121 0 4389.7339 1.158475 -0.15971664
220 1439.7248 137.38713 0.7042159 -0.14084357 0.11107433 121 0 8454.9394 17.864513 -3.1299779
221 1465.7007 136.4423 0.43235922 0.050132353 0.21188089 121 0 4262.993 1.1939097 -0.1924287
222 1887.3865 137.20715 0.79475099 -0.018405059 0.047411839 121 0 6966.0242 9.8531605 -2.4839389
223 273.29507 140.31275 0.47241404 0.0062391412 0.41968582 121 0 4375.2325 1.3009647 -0.28566375
224 1795.1365 138.18958 0.95395767 -0.2033184 0.12084134 121 0 4913.7325 2.6247505 -1.0477201
226 2066.1668 138.60395 0.58796943 0.25062159 0.14414905 121 0 4389.4264 1.5355415 -0.4656539
227 2215.0531 138.63009 0.77640499 -0.050952061 -0.0033372705 121 0 7641.5118 13.779011 -2.8480451
228 2325.733 140.39009 0.60226111 -0.45354844 -0.054452549 121 0 4311.53 1.02102 -0.022585641
229 243.57561 141.23491 0.78739057 -0.27200394 0.24260639 121 0 4600.0215 1.5462991 -0.47323379
230 1860.2602 140.11199 0.9678112 -0.039837184 0.13616335 121 0 5171.7652 3.2463738 -1.2784963
231 1878.6803 140.53659 0.84517108 0.19546965 -0.17292535 121 0 5233.2656 3.4370253 -1.3404568
234 809.86089 142.59902 0.5058604 -0.15097786 0.23264421 121 0 4754.9314 3.1560153 -1.2478478
235 950.04845 144.17494 0.69022019 -0.013084735 0.72018316 121 0 4474.0216 1.5971488 -0.50836345
236 1295.0974 142.0159 0.55986583 -0.93076489 0.20154498 121 0 6392.1869 9.9246225 -2.491785
237 1322.6877 142.58793 0.26460398 0.059795492 0.29662182 121 0 4249.0969 1.2279097 -0.22291604
238 1048.7891 143.90688 0.5121227 -0.22943044 0.18268769 121 0 4751.4537 3.4386158 -1.3409591
239 1353.169 143.73181 0.60203059 -0.15826392 0.12692541 121 0 9504.9774 24.603061 -3.4774729
