id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
109 1018.1733 242.47219 0.89010491 0.083842705 0.015965755 121 0 6378 1.3190822 -0.30067968 49.000891 57.299417
110 831.77502 244.95515 0.41996738 -0.0089733335 -0.036464644 121 0 6349 1.878396 -0.68446789 48.88846 57.308565
111 704.30101 249.22757 0.49498611 -0.064264069 0.078148244 121 0 13964 41.10245 -4.0346693 48.811738 57.315611
112 2266.7374 252.8505 0.55370258 0.3354222 -0.0067361929 121 0 6232 1.1512899 -0.15296176 49.754487 57.244685
113 1958.8193 257.10551 0.87235796 -0.068372621 0.013265468 121 0 6262 1.0709264 -0.074399085 49.569519 57.260771
114 225.69017 259.31558 0.96327574 0.051510633 0.24973211 121 0 6366 1.0820414 -0.085609672 48.522883 57.339753
116 797.69587 260.76104 0.81475261 -0.21283441 -0.28458996 121 0 6363 1.3897434 -0.35733657 48.869151 57.315238
117 355.9183 264.931 0.44226246 -0.12732608 0.23873349 121 0 24292 83.777708 -4.8078212 48.602191 57.33597
118 1083.3515 270.12358 0.75884487 -0.0098857533 0.039593978 121 0 8521 9.9630357 -2.4959792 49.04256 57.305503
119 1241.7489 270.05198 0.9091843 0.0082252965 0.10038084 121 0 7419 4.8429409 -1.7127729 49.138217 57.298298
120 2029.3555 270.98547 0.94242891 0.010271572 0.00022832102 121 0 9569 11.66497 -2.667209 49.613218 57.261951
122 2010.0201 275.5533 0.97470853 -0.029511832 0.016194009 121 0 6375 1.2503329 -0.24256418 49.601976 57.264359
123 1412.4913 280.80009 0.85038115 0.29357809 -0.22414384 121 0 6355 1.2223869 -0.2180217 49.242193 57.293992
124 255.84753 285.18653 0.31981555 0.29946197 0.44903315 121 0 6188 1.1550306 -0.15648372 48.543189 57.346901
125 1307.4723 288.51884 0.94928855 -0.0061069022 0.018269262 121 0 7738 5.5746037 -1.865535 49.179454 57.301324
126 463.04372 294.67847 0.4581913 -0.036947856 0.29945947 121 0 6851 4.361347 -1.5990516 48.669422 57.341028
127 287.99494 297.04951 0.36986085 -0.36787849 0.22212248 121 0 6267 1.3656787 -0.33837133 48.563601 57.349389
129 2350.8937 297.45804 0.79044053 0.14008358 -0.029080382 121 0 10263 15.799969 -2.9966406 49.809114 57.255169
130 602.3209 303.07077 0.46458358 -0.085511283 0.12141952 121 0 9282 17.524297 -3.1091015 48.754404 57.337675
131 773.31835 303.93346 0.59019999 -0.1963135 0.10015076 121 0 6451 2.1120514 -0.81176123 48.857935 57.330409
132 853.50248 305.10787 0.5758206 -0.078857102 0.10170186 121 0 8051 9.7078509 -2.4678077 48.906527 57.327227
133 234.11304 307.76833 0.37266666 0.055024494 0.024173189 121 0 6185 1.0733008 -0.076803677 48.531802 57.355207
134 1821.7544 319.48256 0.88023487 0.018774256 0.15955484 121 0 6662 2.3504809 -0.9278918 49.492382 57.28758
135 93.921852 320.97368 0.27596708 -0.066784262 0.31903846 121 0 7349 7.1384056 -2.1340031 48.447869 57.365518
136 219.24628 320.50065 0.53077125 -0.19660037 0.14036972 121 0 6315 1.3612755 -0.33486505 48.523797 57.360002
139 381.14596 329.04307 0.55922908 -0.38902675 0.25588761 121 0 6666 2.9819391 -1.1862469 48.622568 57.355804
140 1798.1841 332.08613 0.3389907 0.47475199 0.18168496 121 0 6147 1.1958315 -0.194175 49.479268 57.292798
141 1361.3896 332.9513 0.87605393 0.60187681 0.063390441 121 0 6780 2.646805 -1.0568049 49.215768 57.313351
142 1658.691 333.86596 0.51699154 0.38425336 0.39313547 121 0 6186 1.0236491 -0.025377779 49.39529 57.299904
143 929.20615 333.59005 0.2423841 -0.78671566 -0.16377621 121 0 6202 1.7176938 -0.58736439 48.954651 57.33314
144 632.9656 341.76476 0.46381863 -0.15913819 0.19157816 121 0 7371 6.855781 -2.0901423 48.776081 57.348956
145 1516.1086 341.14714 0.9814155 -0.43395778 -0.0077753629 121 0 6321 1.0945928 -0.098131443 49.309876 57.308899
146 968.15778 345.85132 0.72940818 -0.11957655 0.17173546 121 0 6787 3.1224061 -1.2362235 48.979219 57.335396
147 2306.9009 347.72672 0.92345912 -0.10383908 -0.0076351559 121 0 6390 1.4341038 -0.39145149 49.78715 57.273682
148 1052.0257 350.17464 0.57778989 0.042504327 0.042683692 121 0 6359 1.6248257 -0.52701694 49.030288 57.333035
149 1064.3852 353.30054 0.65025333 -0.37007872 -0.11804986 121 0 6435 1.8618041 -0.67483498 49.03802 57.333498
150 934.72852 355.72182 0.4110353 -0.020809518 0.084417485 121 0 6660 3.9973997 -1.5044439 48.959817 57.340115
151 657.17268 358.09901 0.46987329 -0.05314234 0.19060439 121 0 7113 6.0090509 -1.9470147 48.792058 57.353221
152 1161.2479 359.13544 0.87679733 0.33344512 -0.045671361 121 0 6591 1.9618568 -0.73166829 49.09706 57.331021
153 306.92652 360.53802 0.62322624 -0.088133673 -0.011323065 121 0 6642 2.6015707 -1.0380891 48.580098 57.369296
154 865.68594 366.05292 0.66875874 -0.095174099 0.048574275 121 0 10468 19.223842 -3.2096005 48.918902 57.346572
155 62.793594 369.76072 0.41788524 -0.07676219 0.17824325 121 0 7013 4.1955899 -1.5569826 48.432799 57.382771
156 820.59519 369.42411 0.9504364 -0.21205276 -0.29209674 121 0 6443 1.5062964 -0.44477611 48.891895 57.349681
157 2197.1769 371.31636 0.85741049 0.13589793 -0.017529387 121 0 18428 43.38915 -4.0934529 49.723185 57.286652
158 279.90545 371.795 0.44825469 -0.11254979 0.20488925 121 0 9618 17.45282 -3.104664 48.564612 57.374136
159 1553.241 372.15254 0.76350236 0.12802178 -0.090987662 121 0 6342 1.3201153 -0.30152968 49.334947 57.317294
160 1194.7258 375.21872 0.49278217 0.10127371 -0.12612674 121 0 6352 2.1185442 -0.81509382 49.118643 57.334749
161 939.37933 377.03939 0.9315516 -0.50376899 0.11814366 121 0 6392 1.3157981 -0.29797311 48.96439 57.346863
162 1966.6502 377.34674 0.31753341 0.17954761 -0.08796933 121 0 6117 1.0919793 -0.095536051 49.5848 57.299611
163 816.5412 377.6173 0.37559499 -0.025918143 0.045913191 121 0 6279 1.7984541 -0.63724839 48.890113 57.352535
164 1792.2974 379.04641 0.78163646 0.036518449 0.13402395 121 0 6369 1.5024804 -0.44202202 49.479805 57.30839
